ra	00000000
sp	8001ffff
gp	00000000
tp	00000000
t0	00000000
t1	00000000
t2	00000000
fp	00000000
s1	00000000
a0	00000000
a1	00000000
a2	00000000
a3	00000000
a4	00000000
a5	00000000
a6	00000000
a7	00000000
s2	00000000
s3	00000000
s4	00000000
s5	00000000
s6	00000000
s7	00000000
s8	00000000
s9	00000000
s10	00000000
s11	00000000
t3	00000000
t4	00000000
t5	00000000
t6	00000000
pc	00000000
---------------------------------------------------
ra	00000000
sp	8001ffff
gp	00000000
tp	00000000
t0	00000000
t1	00000000
t2	00000000
fp	00000000
s1	00000000
a0	00000000
a1	00000000
a2	00000000
a3	00000000
a4	00000000
a5	00000000
a6	00000000
a7	00000000
s2	00000000
s3	00000000
s4	00000000
s5	00000000
s6	00000000
s7	00000000
s8	00000000
s9	00000000
s10	00000000
s11	00000000
t3	00000000
t4	00000000
t5	00000000
t6	00000000
pc	7ffffffc
---------------------------------------------------
ra	00000000
sp	8001ffff
gp	00000000
tp	00000000
t0	00000000
t1	00000000
t2	00000000
fp	00000000
s1	00000000
a0	00000000
a1	00000000
a2	00000000
a3	00000000
a4	00000000
a5	00000000
a6	00000000
a7	00000000
s2	00000000
s3	00000000
s4	00000000
s5	00000000
s6	00000000
s7	00000000
s8	00000000
s9	00000000
s10	00000000
s11	00000000
t3	00000000
t4	00000000
t5	00000000
t6	00000000
pc	80000000
---------------------------------------------------
ra	00000005
sp	8001ffff
gp	00000000
tp	00000000
t0	00000000
t1	00000000
t2	00000000
fp	00000000
s1	00000000
a0	00000000
a1	00000000
a2	00000000
a3	00000000
a4	00000000
a5	00000000
a6	00000000
a7	00000000
s2	00000000
s3	00000000
s4	00000000
s5	00000000
s6	00000000
s7	00000000
s8	00000000
s9	00000000
s10	00000000
s11	00000000
t3	00000000
t4	00000000
t5	00000000
t6	00000000
pc	80000004
---------------------------------------------------
ra	00000005
sp	0000000a
gp	00000000
tp	00000000
t0	00000000
t1	00000000
t2	00000000
fp	00000000
s1	00000000
a0	00000000
a1	00000000
a2	00000000
a3	00000000
a4	00000000
a5	00000000
a6	00000000
a7	00000000
s2	00000000
s3	00000000
s4	00000000
s5	00000000
s6	00000000
s7	00000000
s8	00000000
s9	00000000
s10	00000000
s11	00000000
t3	00000000
t4	00000000
t5	00000000
t6	00000000
pc	80000008
---------------------------------------------------
ra	00000005
sp	0000000a
gp	0000000f
tp	00000000
t0	00000000
t1	00000000
t2	00000000
fp	00000000
s1	00000000
a0	00000000
a1	00000000
a2	00000000
a3	00000000
a4	00000000
a5	00000000
a6	00000000
a7	00000000
s2	00000000
s3	00000000
s4	00000000
s5	00000000
s6	00000000
s7	00000000
s8	00000000
s9	00000000
s10	00000000
s11	00000000
t3	00000000
t4	00000000
t5	00000000
t6	00000000
pc	8000000c
---------------------------------------------------
ra	00000005
sp	0000000a
gp	0000000f
tp	00000005
t0	00000000
t1	00000000
t2	00000000
fp	00000000
s1	00000000
a0	00000000
a1	00000000
a2	00000000
a3	00000000
a4	00000000
a5	00000000
a6	00000000
a7	00000000
s2	00000000
s3	00000000
s4	00000000
s5	00000000
s6	00000000
s7	00000000
s8	00000000
s9	00000000
s10	00000000
s11	00000000
t3	00000000
t4	00000000
t5	00000000
t6	00000000
pc	80000010
---------------------------------------------------
ra	00000005
sp	0000000a
gp	0000000f
tp	00000005
t0	00001400
t1	00000000
t2	00000000
fp	00000000
s1	00000000
a0	00000000
a1	00000000
a2	00000000
a3	00000000
a4	00000000
a5	00000000
a6	00000000
a7	00000000
s2	00000000
s3	00000000
s4	00000000
s5	00000000
s6	00000000
s7	00000000
s8	00000000
s9	00000000
s10	00000000
s11	00000000
t3	00000000
t4	00000000
t5	00000000
t6	00000000
pc	80000014
---------------------------------------------------
ra	00000005
sp	0000000a
gp	0000000f
tp	00000005
t0	00001400
t1	fffffffb
t2	00000000
fp	00000000
s1	00000000
a0	00000000
a1	00000000
a2	00000000
a3	00000000
a4	00000000
a5	00000000
a6	00000000
a7	00000000
s2	00000000
s3	00000000
s4	00000000
s5	00000000
s6	00000000
s7	00000000
s8	00000000
s9	00000000
s10	00000000
s11	00000000
t3	00000000
t4	00000000
t5	00000000
t6	00000000
pc	80000018
---------------------------------------------------
ra	00000005
sp	0000000a
gp	0000000f
tp	00000005
t0	00001400
t1	fffffffb
t2	0000000f
fp	00000000
s1	00000000
a0	00000000
a1	00000000
a2	00000000
a3	00000000
a4	00000000
a5	00000000
a6	00000000
a7	00000000
s2	00000000
s3	00000000
s4	00000000
s5	00000000
s6	00000000
s7	00000000
s8	00000000
s9	00000000
s10	00000000
s11	00000000
t3	00000000
t4	00000000
t5	00000000
t6	00000000
pc	8000001c
---------------------------------------------------
ra	00000005
sp	0000000a
gp	0000000f
tp	00000005
t0	00001400
t1	fffffffb
t2	0000000f
fp	0000000f
s1	00000000
a0	00000000
a1	00000000
a2	00000000
a3	00000000
a4	00000000
a5	00000000
a6	00000000
a7	00000000
s2	00000000
s3	00000000
s4	00000000
s5	00000000
s6	00000000
s7	00000000
s8	00000000
s9	00000000
s10	00000000
s11	00000000
t3	00000000
t4	00000000
t5	00000000
t6	00000000
pc	80000020
---------------------------------------------------
ra	00000005
sp	0000000a
gp	0000000f
tp	00000005
t0	00001400
t1	fffffffb
t2	0000000f
fp	0000000f
s1	00000000
a0	00000000
a1	00000000
a2	00000000
a3	00000000
a4	00000000
a5	00000000
a6	00000000
a7	00000000
s2	00000000
s3	00000000
s4	00000000
s5	00000000
s6	00000000
s7	00000000
s8	00000000
s9	00000000
s10	00000000
s11	00000000
t3	00000000
t4	00000000
t5	00000000
t6	00000000
pc	80000024
---------------------------------------------------
ra	00000005
sp	0000000a
gp	0000000f
tp	00000005
t0	00001400
t1	fffffffb
t2	0000000f
fp	0000000f
s1	00000000
